category,id,mass,scale
MediaPlayer,5be8a53bd1564d26d2ee14aa7f86b306,0.785441672,0.0143172534
TV,a2b242fc4d9982894eef6cde7f14945c,0.076338341,0.000332656
WineBottle,d8b6c270d29c58c55627157b31e16dc2,0.0628683016,0.0180759496
Speaker,867d9945687ada13bb62a53e25c6d701,0.061527898,0.0015309015
Rug,3bd54bafd38d93f07fee8146153c89d0,0.000965603,0.0006412767
FloorLamp,bdc355cc3fde8c4c2c528d33bca1ac2,0.0005099825,0.0012359278
Bag,7565e6f425dd6d376d987ae9a225629c,0.0158538275,0.0006436656
Laptop,5fb5b09b324dc153ed883f1f11a51185,0.3149874105,0.0097121027
Fork,52cb2e7475ba465b5515867ce6d7bbc,0.0009407242,0.0193311723
AccentChair,7c032d2cf3a2303244298dba366b34fa,0.0136061574,0.0040361794
WallUnit,e0604ccdb930f6cbbdf0d356dbefb032,0.0237380308,0.0016099676
PottedPlant,ff64e45bc8ef04971e72001f9e1cdc7,0.0107631496,0.0034310128
Dresser,6a36134591ec32cd37c7771ad8a91690,0.0515990127,0.0021427011
CeilingFan,93310782e75e2e39aa78f4e1341e6b01,0.0057143228,0.005412399
Keyboard,744c65c1a90c7db44f43b0e03c0602c,0.0367853185,0.0129704939
WallUnit,9b298fa03232e1c29daeea1362fbd792,0.102283866,0.0043827178
Laptop,1b3cf1a9135e8f7a200c856a4ef1939f,0.099776032,0.0357111218
TV,1a595fd7e7043a06b0d7b0d4230df8ca,0.1578558831,0.0014458133
Chaise,9170804e28cece09a93c28de60200f49,0.0099612605,0.0021064591
Table,19e80d699bcbd3168821642e9a54505,0.158255938,0.0047563802
Candle,89906b8bba22c83d80fa98b5eeb7036c,0.0039432767,0.000289536
LightSwitch,a54f506ac464d6ee140a527375fd6757,0.2160434249,0.0723461527
Desk,8361e67248bf5b8391e33af9e1f3def4,0.078768969,0.0050187945
Printer,cadd6125bf30f513e10a48f2bbb9bef4,0.8825411564,0.0115827932
QueenBed,b58efcf2d82f08a68c4f202fffc87396,0.0055808566,0.0009986601
Keyboard,3f34b7f6ef1fd8e7891aaffa5a7c7cad,0.0153005121,0.0094858337
Chair,6072a4739c12979baa69dfdc5532bb13,0.0100189396,0.0001513724
Plate,9afc9d6669f57db51bb40575ac9d9dd3,0.0096490598,0.0006673764
TissueBox,9505d30e01e1525d425a1ac5e9c74c52,0.4292517534,0.0112581807
Refrigerator,488eb713af5221678de498571718944d,0.107093646,0.0003609698
TV,7bd5744863ce58c9901fed29c825c894,0.0379045386,0.0037864314
Bench,f39401db6cc45a3ae3e15116d1de599a,0.0049750708,0.001842651
CanOpener,707246e05d42091fc623f57334967f5e,0.0052052941,0.0012322074
Desk,52a74b32b7f821573a4942768501ab9f,0.3826497156,0.0069284539
CoffeeTable,b17d02eaeb7dea4ff5257ed6d7deb09f,0.1078321191,0.0056055571
Recliner,fa0eb1bb05ebe3f2dd3adf3090c701f7,0.6853343644,0.0047569073
Bowl,e2485e9899c45b4213c8070bd9ea6b40,0.0463162209,0.0145235861
WineRack,4c0217308012a5f1c123147a914238ea,0.0007128888,0.0026327841
Laptop,14fc5be1b05c2c0be85794c56c95b203,0.0209330406,0.0059486498
